연번 ,업소명(상호),영업장소재지,경도,위도,위생등급,지정번호,관할기관,지정일자
578,스시츠카무 센텀시티점,부산광역시 해운대구 센텀남대로 59(롯데백화점센텀시티점 지하1층 우동),129.1310752,35.16985471,매우우수,HG220006340,부산광역시 해운대구,2022-08-09
579,아그라센텀시티,부산광역시 해운대구 센텀4로 15(센텀시티 몰 4층 일부호 우동),129.128287,35.16986272,매우우수,HG220004753,부산광역시 해운대구,2022-06-23
580,철인7호 해운대지점,부산광역시 해운대구 해운대로570번길 2(2층 우동),129.1542068,35.16071255,매우우수,HG210011413,부산광역시 해운대구,2021-12-09
581,(주)라라코스트 신시계센텀시티점,부산광역시 해운대구 센텀남대로 35(신세계백화점센텀시티점 4층 우동),129.1290849,35.16881869,매우우수,HG210008997,부산광역시 해운대구,2023-09-15
582,정월당치킨 재송점,부산광역시 해운대구 해운대로38번길 70(107호 재송동),129.1175891,35.1910544,매우우수,HG220006947,부산광역시 해운대구,2022-08-22
583,로쿠미,부산광역시 해운대구 센텀남대로 35(신세계백화점센텀시티점 지하1층 일부호 우동),129.1290849,35.16881869,매우우수,HG230000672,부산광역시 해운대구,2023-02-21
585,환성물회,부산광역시 사하구 하신번영로167번길 26(2층 신평동),128.9585285,35.09763706,우수,HG220007411,부산광역시 사하구,2022-09-02
586,바로덮밥&바로파스타,부산광역시 사하구 하신번영로157번길 22(1층 신평동),128.9588463,35.09667905,매우우수,HG230006520,부산광역시 사하구,2023-09-01
587,기롱 아구찜,부산광역시 사하구 하신번영로167번길 20(신평동),128.9589559,35.09760664,우수,HG220008181,부산광역시 사하구,2022-09-29
588,더 벤티,부산광역시 사하구 동매로 7(하단동),128.9591383,35.1038069,매우우수,HG220010036,부산광역시 사하구,2022-11-14
591,리에또(LIETO),"부산광역시 사하구 다대낙조2길 85(5층 504,505호 다대동)",128.9614145,35.05295812,매우우수,HG230002672,부산광역시 사하구,2023-05-08
596,어밤부,부산광역시 사하구 낙동남로 1413(아트몰링 14층 하단동),128.966874,35.10681916,매우우수,HG220010292,부산광역시 사하구,2022-11-24
597,장원,부산광역시 사하구 낙동남로 1413(17층 하단동),128.966874,35.10681916,매우우수,HG220010427,부산광역시 사하구,2022-11-24
599,고메밀면 부산하단아트몰링점,부산광역시 사하구 낙동남로 1413(14층 하단동),128.966874,35.10681916,매우우수,HG220010428,부산광역시 사하구,2022-11-24
600,한옥마을 전주비빔밥(부산아트몰링점),부산광역시 사하구 낙동남로 1413(14층 하단동),128.966874,35.10681916,우수,HG220010379,부산광역시 사하구,2022-11-24
